NDVI,NDWI,NDBI,ICE,Clase
0.7839276,-0.69464105,-0.26015037,0.3310807,2
0.8211999,-0.6976127,-0.32482317,0.36852437,2
0.8307906,-0.7322835,-0.2753623,0.3515473,2
0.8380251,-0.7418428,-0.32047293,0.36678585,2
0.85722667,-0.74558824,-0.36987883,0.39045933,2
0.8357488,-0.7409413,-0.33567664,0.37038913,2
0.77658945,-0.70079637,-0.17971987,0.30205142,2
0.8043042,-0.7161572,-0.23028761,0.32800692,2
0.83166665,-0.7510456,-0.3817382,0.38014567,2
0.8219991,-0.72291756,-0.3395973,0.36829522,2
0.8099463,-0.69590896,-0.3264887,0.36373797,2
0.82041174,-0.6884014,-0.35972518,0.38044316,2
0.8248332,-0.6946443,-0.36840406,0.38400897,2
0.8431108,-0.7062006,-0.36507407,0.3898375,2
0.84821427,-0.71499586,-0.36927402,0.39189017,2
0.8425271,-0.69397485,-0.339503,0.38431948,2
0.8296887,-0.7067435,-0.29710013,0.36262572,2
0.8327013,-0.7010352,-0.3059927,0.36794144,2
0.83777654,-0.69072884,-0.38009372,0.39477062,2
0.8337174,-0.7108832,-0.3678921,0.3850497,2
0.8211636,-0.7210332,-0.3223703,0.36308625,2
0.78491676,-0.6880326,-0.31638256,0.3497666,2
0.7847694,-0.65407556,-0.35689047,0.36863673,2
0.7894536,-0.67200285,-0.303564,0.35139546,2
0.8430208,-0.7258641,-0.339294,0.3781258,2
0.8411308,-0.73151094,-0.36421302,0.3835271,2
0.8452174,-0.7259048,-0.32645726,0.37536493,2
0.8209665,-0.7405351,-0.2458898,0.33614317,2
0.8044035,-0.7308448,-0.25610408,0.33286402,2
0.7796976,-0.68545455,-0.26509723,0.33228707,2
0.7612634,-0.6726952,-0.27547932,0.32873642,2
0.7967812,-0.69154227,-0.2635135,0.33913618,2
0.8396446,-0.71248525,-0.33210784,0.3769576,2
0.85590345,-0.7540107,-0.39752877,0.39640823,2
0.8642042,-0.74508476,-0.4164259,0.40801293,2
0.8412842,-0.7446444,-0.32036316,0.36782217,2
0.80206084,-0.68761224,-0.284153,0.34875387,2
0.7902973,-0.6992202,-0.3671945,0.365463,2
0.8222382,-0.7105219,-0.41019216,0.39207238,2
0.82719034,-0.7046223,-0.37517053,0.38522187,2
0.84184515,-0.699411,-0.36904943,0.39175522,2
0.84615386,-0.70722574,-0.39748698,0.40087786,2
0.8552529,-0.72192127,-0.4160974,0.40807143,2
0.8439108,-0.71519744,-0.36011386,0.38695008,2
0.8346457,-0.721145,-0.29647017,0.3620349,2
0.85858583,-0.7293233,-0.3372093,0.38459104,2
0.85004073,-0.7035647,-0.3774272,0.3975356,2
0.8390272,-0.6848806,-0.35571998,0.3892535,2
0.8284851,-0.68994415,-0.3626126,0.38503748,2
0.81839126,-0.71283907,-0.3307109,0.3658411,2
0.80701756,-0.7124504,-0.31096327,0.35430768,2
0.80606735,-0.71934795,-0.34441674,0.3624891,2
0.82220685,-0.7084482,-0.38014147,0.38345623,2
0.8077525,-0.6866688,-0.3429752,0.36943504,2
0.80194694,-0.6801252,-0.3569262,0.3720263,2
0.7588047,-0.6725305,-0.3046576,0.33629352,2
0.71982926,-0.64666545,-0.25428045,0.30686566,2
0.769131,-0.6891641,-0.34351146,0.34978613,2
0.7871044,-0.7032258,-0.32897055,0.35159823,2
0.76888525,-0.67679507,-0.24393396,0.3222638,2
0.7555938,-0.67901236,-0.21555191,0.30666,2
0.72140765,-0.648587,-0.24993345,0.30596647,2
0.6096922,-0.54300064,-0.2712697,0.2776269,2
0.61317956,-0.54350567,-0.23511605,0.26842347,2
0.59623784,-0.52064,-0.22096609,0.26028073,2
0.4985366,-0.44951242,-0.1345562,0.19973268,1
0.3847453,-0.34499726,-0.16656788,0.17334357,1
0.7726882,-0.6839815,-0.2174597,0.31478572,2
0.7873278,-0.67561984,-0.23275699,0.32836705,2
0.8154982,-0.71556664,-0.2608457,0.34288946,2
